strategy_id,source_video_ids,title_set,strategy_name,underlying,timeframe,payoff_family,entry_rule,strike_rule,adjustment_rule,stop_rule,target_rule,exit_rule,capital_rule,source_fidelity,data_status,duplicate_group,phase_status
EI_VIDEO_6HZUXkGns2A,6HZUXkGns2A,This is why Retail Traders Miss Big Move (Right Way to Use PCR) ,This is why Retail Traders Miss Big Move (Right Way to Use PCR),,,pcr_directional,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_mgZ7FWdG3c8,mgZ7FWdG3c8,Top 02 Intraday Indicators for Real Edge,Top 02 Intraday Indicators for Real Edge,,,indicator_signal,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_PNSAHbwdbaA,PNSAHbwdbaA,Top 3 Strategies for Beginners ,Top 3 Strategies for Beginners,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_5BQKPOUZ8Hs,5BQKPOUZ8Hs,Top Iron-Condor Adjustments | Iron-Condor Flip,Top Iron-Condor Adjustments | Iron-Condor Flip,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_3VaIprntqlA,3VaIprntqlA,Unique Sold Put Adjustment,Unique Sold Put Adjustment,,,put_strategy,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_LvzfugcnpGA,LvzfugcnpGA,Wait for THIS Level Before Selling Weekly Options Intraday ,Wait for THIS Level Before Selling Weekly Options Intraday,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_s1j4F8CYaTM,s1j4F8CYaTM,Weekly Adjustments for Iron-Condor  #equityincome ,Weekly Adjustments for Iron-Condor  #equityincome,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_o6CSaHAq50c,o6CSaHAq50c,Weekly Calendar Strategy Theta + Hedge,Weekly Calendar Strategy Theta + Hedge,,,calendar,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_vsZDpN4nZD4,vsZDpN4nZD4,Weekly Collar for Working Professionals 💼 ,Weekly Collar for Working Professionals 💼,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_3dKrtjyX4hc,3dKrtjyX4hc,Weekly Cross Calendar ¦ Hedged Strategy ¦ #equityincome ,Weekly Cross Calendar ¦ Hedged Strategy ¦ #equityincome,,,calendar,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_gwPOZtHwLIc,gwPOZtHwLIc,Weekly Options Air Defense System  Built to Survive Gap Attacks,Weekly Options Air Defense System  Built to Survive Gap Attacks,,,iron_condor,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_oGCcVVk0KtM,oGCcVVk0KtM,Weekly Options Buying without Theta Decay  ,Weekly Options Buying without Theta Decay,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_KTy9i7kUnXE,KTy9i7kUnXE,Weekly Options Guerilla Tactics 🚀,Weekly Options Guerilla Tactics 🚀,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_QlQVLenJ_Rc,QlQVLenJ_Rc,Weekly Options Selling with ⚔️ Triple Confirmation Method ⚔️,Weekly Options Selling with ⚔️ Triple Confirmation Method ⚔️,,,covered_or_equity,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_thHoEGJAGLg,thHoEGJAGLg,Weekly Options Survival Strategy For Low Vix,Weekly Options Survival Strategy For Low Vix,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_nIo7ysDbDKg,nIo7ysDbDKg,Weekly Shield | Working People Strategy,Weekly Shield | Working People Strategy,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_mQ0A07NzKmY,mQ0A07NzKmY,When VIX is Low - This Calendar Speaks Loudest,When VIX is Low - This Calendar Speaks Loudest,,,calendar,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_VAJ7yoFMSFA,VAJ7yoFMSFA,Why 90% pick the Wrong Strike - The 2 Minute Protocol,Why 90% pick the Wrong Strike - The 2 Minute Protocol,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_GODEm21Sl1s,GODEm21Sl1s,Why Futures Traders Bleed Money ¦ Future Trading Methods,Why Futures Traders Bleed Money ¦ Future Trading Methods,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_w3-vrFmhIVU,w3-vrFmhIVU,XXXL RANGE OPTIONS STRATEGY FOR WORKING PROFESSIONALS,XXXL RANGE OPTIONS STRATEGY FOR WORKING PROFESSIONALS,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO___7N-w3N2hc,__7N-w3N2hc,You’re Closer to Risk Than You Think,You’re Closer to Risk Than You Think,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_TapDWbaBFw4,TapDWbaBFw4,Zebra Intraday Options Strategy #0dte,Zebra Intraday Options Strategy #0dte,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_MI-LUs6GvOk,MI-LUs6GvOk,“Clever Options Trading Fibonacci Edge”,“Clever Options Trading Fibonacci Edge”,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_2gxtLyEkmHs,2gxtLyEkmHs,⚔️ Expiry Day Gamma Strategy for Intraday Traders,⚔️ Expiry Day Gamma Strategy for Intraday Traders,,,gamma,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_xI3lwE-U3sc,xI3lwE-U3sc,⚡ Ratio Spread (Unheard) Adjustment BEAST MODE,⚡ Ratio Spread (Unheard) Adjustment BEAST MODE,,,ratio_spread,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_q9aOvZcvMEI,q9aOvZcvMEI,🎅Weekly Options Selling with Christmas Tree Options Strategy ,🎅Weekly Options Selling with Christmas Tree Options Strategy,,,covered_or_equity,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_sBFLcfcG06U,sBFLcfcG06U,🎯 Intraday Tactical Strike Strategy | For Working People,🎯 Intraday Tactical Strike Strategy | For Working People,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_boRpz56uI6o,boRpz56uI6o,🏆 Top Iron-Fly Trick of All Time,🏆 Top Iron-Fly Trick of All Time,,,iron_fly,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_TtBbiED12Rg,TtBbiED12Rg,💀 Covered Call Killer | Extra Protection | Special Trick,💀 Covered Call Killer | Extra Protection | Special Trick,,,covered_call,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_VL4P5nNsdng,VL4P5nNsdng,"💎 Option Volatility Secrets, Never Shown On YouTube","💎 Option Volatility Secrets, Never Shown On YouTube",,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_x4SQSpj_inQ,x4SQSpj_inQ,💹 Intraday Option Selling Battle Plan | Darvas Box Setup,💹 Intraday Option Selling Battle Plan | Darvas Box Setup,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Ljyv8khEMqk,Ljyv8khEMqk,💹Kelly's Options Trading Calculator | Method Used By Professionals,💹Kelly's Options Trading Calculator | Method Used By Professionals,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_vrtNR5M2CVk,vrtNR5M2CVk,📌 #1 Trick of Overnight Gap Protection for Options Trading ¦ #equityincome ,📌 #1 Trick of Overnight Gap Protection for Options Trading ¦ #equityincome,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_0qHsGg2YDIg,0qHsGg2YDIg,📌 Iron Condor Super Adjustments ,📌 Iron Condor Super Adjustments,,,iron_condor,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_nmQFhPwbRfg,nmQFhPwbRfg,📍Pin-Point Strike ⚡ Strategy for Working Professionals,📍Pin-Point Strike ⚡ Strategy for Working Professionals,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_7oxXpVnllW8,7oxXpVnllW8,🔥 2 Viral Covered Call Tricks! | Equityincome,🔥 2 Viral Covered Call Tricks! | Equityincome,,,covered_call,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_91kS7WII9Lg,91kS7WII9Lg,🔥 Double Calendar Hedged Strategy For Busy People ,🔥 Double Calendar Hedged Strategy For Busy People,,,calendar,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Kh6zy3hy4Lo,Kh6zy3hy4Lo,🔥 IRON-FLY Damage Control Protocol,🔥 IRON-FLY Damage Control Protocol,,,iron_fly,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_7t6y29xJRMg,7t6y29xJRMg,🔥 Iron Fly Strategy Adjustment When Markets Turn Wild ⚔️ ,🔥 Iron Fly Strategy Adjustment When Markets Turn Wild ⚔️,,,iron_fly,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_hAy3T7sE5qo,hAy3T7sE5qo,🔥 RR 1:5 LEAPS OPTIONS STRATEGY ¦ Professional Hedged Setup ¦ #equityincome ,🔥 RR 1:5 LEAPS OPTIONS STRATEGY ¦ Professional Hedged Setup ¦ #equityincome,,,leaps,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Y0EbZhLin44,Y0EbZhLin44,🔥 The Weekly IronFly Most Traders Are Missing,🔥 The Weekly IronFly Most Traders Are Missing,,,iron_fly,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_FbLyqJpz7pY,FbLyqJpz7pY,🔥 This Batman Adjustment Can Change Your Payoff ,🔥 This Batman Adjustment Can Change Your Payoff,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_QCWBykZmlqI,QCWBykZmlqI,🔥 Tomorrow Gap up or Down? OBV early Signal,🔥 Tomorrow Gap up or Down? OBV early Signal,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO__pDU1aqKivU,_pDU1aqKivU,🔥Aggressive Straddle Adjustment Plan ✅,🔥Aggressive Straddle Adjustment Plan ✅,,,straddle,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_igUs-iyxhzE,igUs-iyxhzE,🔥Cross Calendar Setup for Working Professionals ,🔥Cross Calendar Setup for Working Professionals,,,calendar,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_L7lqjl9UymE,L7lqjl9UymE,🔥HEDGING UNDER FIRE : THE RANGE ADVANTAGE !,🔥HEDGING UNDER FIRE : THE RANGE ADVANTAGE !,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_RBSR9h3nzzQ,RBSR9h3nzzQ,🔱 Trend Sniper ¦ Working People Strategy,🔱 Trend Sniper ¦ Working People Strategy,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_z8gYpMnOh1A,z8gYpMnOh1A,"🤫 The ""Real"" Hedging Looks Like This |","🤫 The ""Real"" Hedging Looks Like This |",,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_0a5xwwkChd4,0a5xwwkChd4,🦁#Leaps Passive Trading. Here's How.,🦁#Leaps Passive Trading. Here's How.,,,leaps,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_mHnaPTedrUU,mHnaPTedrUU,🧠10x Better than your Synthetic Future #optionselling #niftyoptiontradingstrategy #optiontrading,🧠10x Better than your Synthetic Future #optionselling #niftyoptiontradingstrategy #optiontrading,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_F2mBweH77Es,F2mBweH77Es,🪽 Broken-Wing 21 Day Butterfly | Sweet Spot Trading,🪽 Broken-Wing 21 Day Butterfly | Sweet Spot Trading,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
